Allocated 942919680, Freeing 752000812, ratio 0.797524
------------------------------------------------------------------------
Fulfilling the array
Allocated 942923776, Freeing 752003946, ratio 0.797524
Allocated 942923776, Freeing 752002746, ratio 0.797522
Allocated 942931968, Freeing 752010938, ratio 0.797524
Allocated 942940160, Freeing 752019130, ratio 0.797526
Allocated 942944256, Freeing 752022955, ratio 0.797526
Allocated 942944256, Freeing 752022384, ratio 0.797526
Allocated 942952448, Freeing 752027409, ratio 0.797524
Allocated 942952448, Freeing 752026809, ratio 0.797524
Allocated 942956544, Freeing 752030494, ratio 0.797524
Allocated 942956544, Freeing 752029473, ratio 0.797523
Allocated 942952448, Freeing 752025592, ratio 0.797522
Allocated 942952448, Freeing 752022308, ratio 0.797519
Allocated 942960640, Freeing 752030500, ratio 0.797521
Allocated 942956544, Freeing 752025976, ratio 0.797519
Allocated 942956544, Freeing 752024879, ratio 0.797518
Allocated 942952448, Freeing 752020858, ratio 0.797517
Allocated 942960640, Freeing 752029050, ratio 0.797519
Allocated 942956544, Freeing 752025023, ratio 0.797518
Allocated 942960640, Freeing 752028125, ratio 0.797518
Allocated 942960640, Freeing 752027788, ratio 0.797518
Allocated 942968832, Freeing 752035980, ratio 0.797519
Allocated 942972928, Freeing 752037373, ratio 0.797517
Allocated 942968832, Freeing 752033306, ratio 0.797517
Allocated 942977024, Freeing 752038201, ratio 0.797515
Allocated 942985216, Freeing 752046393, ratio 0.797517
Allocated 942981120, Freeing 752041596, ratio 0.797515
Allocated 942985216, Freeing 752045391, ratio 0.797516
Allocated 942985216, Freeing 752043056, ratio 0.797513
Allocated 942985216, Freeing 752043465, ratio 0.797514
Allocated 942993408, Freeing 752047595, ratio 0.797511
Allocated 942989312, Freeing 752043534, ratio 0.797510
Allocated 942993408, Freeing 752047630, ratio 0.797511
Allocated 942993408, Freeing 752047222, ratio 0.797511
Allocated 942997504, Freeing 752051150, ratio 0.797511
Allocated 943001600, Freeing 752051619, ratio 0.797508
Allocated 943005696, Freeing 752055242, ratio 0.797509
Allocated 943005696, Freeing 752053895, ratio 0.797507
Allocated 943009792, Freeing 752057745, ratio 0.797508
Allocated 943017984, Freeing 752065937, ratio 0.797510
Allocated 943022080, Freeing 752065904, ratio 0.797506
Allocated 943026176, Freeing 752066313, ratio 0.797503
Allocated 943026176, Freeing 752064933, ratio 0.797502
Allocated 943030272, Freeing 752068170, ratio 0.797502
Allocated 943038464, Freeing 752076362, ratio 0.797503
Allocated 943038464, Freeing 752075032, ratio 0.797502
Allocated 943038464, Freeing 752074790, ratio 0.797502
Allocated 943042560, Freeing 752075091, ratio 0.797499
Allocated 943046656, Freeing 752078570, ratio 0.797499
Allocated 943054848, Freeing 752086762, ratio 0.797501
Allocated 943054848, Freeing 752086230, ratio 0.797500
Allocated 943063040, Freeing 752090250, ratio 0.797497
Allocated 943063040, Freeing 752089461, ratio 0.797496
Allocated 943063040, Freeing 752089173, ratio 0.797496
Allocated 943063040, Freeing 752088860, ratio 0.797496
Allocated 943063040, Freeing 752088990, ratio 0.797496
Allocated 943071232, Freeing 752097182, ratio 0.797498
Allocated 943079424, Freeing 752105374, ratio 0.797500
Allocated 943087616, Freeing 752113566, ratio 0.797501
Allocated 943083520, Freeing 752109652, ratio 0.797501
Allocated 943083520, Freeing 752107810, ratio 0.797499
Allocated 943087616, Freeing 752112418, ratio 0.797500
Allocated 943095808, Freeing 752120610, ratio 0.797502
Allocated 943095808, Freeing 752120035, ratio 0.797501
Allocated 943091712, Freeing 752116009, ratio 0.797500
Allocated 943091712, Freeing 752115590, ratio 0.797500
Allocated 943091712, Freeing 752115554, ratio 0.797500
Allocated 943091712, Freeing 752115363, ratio 0.797500
Allocated 943091712, Freeing 752115085, ratio 0.797499
Allocated 943099904, Freeing 752123277, ratio 0.797501
Allocated 943108096, Freeing 752131469, ratio 0.797503
Allocated 943108096, Freeing 752129463, ratio 0.797501
Allocated 943108096, Freeing 752129062, ratio 0.797500
Allocated 943099904, Freeing 752120911, ratio 0.797499
Allocated 943104000, Freeing 752124785, ratio 0.797499
Allocated 943104000, Freeing 752124441, ratio 0.797499
Allocated 943108096, Freeing 752128076, ratio 0.797499
Allocated 943108096, Freeing 752127701, ratio 0.797499
Allocated 943112192, Freeing 752130741, ratio 0.797499
Allocated 943112192, Freeing 752130063, ratio 0.797498
Allocated 943120384, Freeing 752138255, ratio 0.797500
Allocated 943128576, Freeing 752146447, ratio 0.797501
Allocated 943136768, Freeing 752154639, ratio 0.797503
Allocated 943140864, Freeing 752158374, ratio 0.797504
Allocated 943140864, Freeing 752157428, ratio 0.797503
Allocated 943140864, Freeing 752155158, ratio 0.797500
Allocated 943140864, Freeing 752154924, ratio 0.797500
Allocated 943144960, Freeing 752158396, ratio 0.797500
Allocated 943149056, Freeing 752160834, ratio 0.797499
Allocated 943149056, Freeing 752159526, ratio 0.797498
Allocated 943149056, Freeing 752159707, ratio 0.797498
Allocated 943140864, Freeing 752152165, ratio 0.797497
Allocated 943136768, Freeing 752147970, ratio 0.797496
Allocated 943132672, Freeing 752143245, ratio 0.797495
Allocated 943140864, Freeing 752151437, ratio 0.797496
Allocated 943144960, Freeing 752153939, ratio 0.797496
Allocated 943144960, Freeing 752152228, ratio 0.797494
Allocated 943140864, Freeing 752147578, ratio 0.797492
Allocated 943149056, Freeing 752155770, ratio 0.797494
Allocated 943149056, Freeing 752155307, ratio 0.797494
Allocated 943153152, Freeing 752157001, ratio 0.797492
Allocated 943153152, Freeing 752155345, ratio 0.797490
Allocated 943153152, Freeing 752154805, ratio 0.797490
Allocated 943157248, Freeing 752157813, ratio 0.797489
Allocated 943157248, Freeing 752156904, ratio 0.797488
